,rental_date,hour,feriado,clima,casual_usr,regist_usr,count,temp,termic_sens,humidity,windspeed
0,2011-01-01,0,0,1,3,13,16,9.84,14.395,81.0,0.0
1,2011-01-01,1,0,1,8,32,40,9.02,13.635,80.0,0.0
2,2011-01-01,2,0,1,5,27,32,9.02,13.635,80.0,0.0
3,2011-01-01,3,0,1,3,10,13,9.84,14.395,75.0,0.0
4,2011-01-01,4,0,1,0,1,1,9.84,14.395,75.0,0.0
5,2011-01-01,5,0,2,0,1,1,9.84,12.879999999999999,75.0,6.0032
6,2011-01-01,6,0,1,2,0,2,9.02,13.635,80.0,0.0
7,2011-01-01,7,0,1,1,2,3,8.200000000000001,12.879999999999999,86.0,0.0
8,2011-01-01,8,0,1,1,7,8,9.84,14.395,75.0,0.0
9,2011-01-01,9,0,1,8,6,14,13.120000000000001,17.424999999999997,76.0,0.0
10,2011-01-01,10,0,1,12,24,36,15.58,19.695,76.0,16.997899999999998
11,2011-01-01,11,0,1,26,30,56,14.76,16.665,81.0,19.0012
12,2011-01-01,12,0,1,29,55,84,17.22,21.21,77.0,19.0012
13,2011-01-01,13,0,2,47,47,94,18.86,22.725,72.0,19.999499999999998
14,2011-01-01,14,0,2,35,71,106,18.86,22.725,72.0,19.0012
15,2011-01-01,15,0,2,40,70,110,18.04,21.97,77.0,19.999499999999998
16,2011-01-01,16,0,2,41,52,93,17.22,21.21,82.0,19.999499999999998
17,2011-01-01,17,0,2,15,52,67,18.04,21.97,82.0,19.0012
18,2011-01-01,18,0,3,9,26,35,17.22,21.21,88.0,16.997899999999998
19,2011-01-01,19,0,3,6,31,37,17.22,21.21,88.0,16.997899999999998
20,2011-01-01,20,0,2,11,25,36,16.400000000000002,20.455000000000002,87.0,16.997899999999998
21,2011-01-01,21,0,2,3,31,34,16.400000000000002,20.455000000000002,87.0,12.998000000000001
22,2011-01-01,22,0,2,11,17,28,16.400000000000002,20.455000000000002,94.0,15.001299999999999
23,2011-01-01,23,0,2,15,24,39,18.86,22.725,88.0,19.999499999999998
24,2011-01-02,0,0,2,4,13,17,18.86,22.725,88.0,19.999499999999998
25,2011-01-02,1,0,2,1,16,17,18.04,21.97,94.0,16.997899999999998
26,2011-01-02,2,0,2,1,8,9,17.22,21.21,100.0,19.0012
