hour,year,month,weekday,workingday,feriado,count,Nhumidity,Nwindspeed,Ntemp,Ntermic_sens,clima_1,clima_2,clima_3,season_2,season_3,season_4
0,0,1,6,0,0,16,0.81,0.0,0.22448979591836735,0.2879,1,0,0,0,0,0
1,0,1,6,0,0,40,0.8,0.0,0.20408163265306123,0.2727,1,0,0,0,0,0
2,0,1,6,0,0,32,0.8,0.0,0.20408163265306123,0.2727,1,0,0,0,0,0
3,0,1,6,0,0,13,0.75,0.0,0.22448979591836735,0.2879,1,0,0,0,0,0
4,0,1,6,0,0,1,0.75,0.0,0.22448979591836735,0.2879,1,0,0,0,0,0
5,0,1,6,0,0,1,0.75,0.10531929824561403,0.22448979591836735,0.2576,0,1,0,0,0,0
6,0,1,6,0,0,2,0.8,0.0,0.20408163265306123,0.2727,1,0,0,0,0,0
7,0,1,6,0,0,3,0.86,0.0,0.18367346938775514,0.2576,1,0,0,0,0,0
8,0,1,6,0,0,8,0.75,0.0,0.22448979591836735,0.2879,1,0,0,0,0,0
9,0,1,6,0,0,14,0.76,0.0,0.3061224489795918,0.3484999999999999,1,0,0,0,0,0
10,0,1,6,0,0,36,0.76,0.29820877192982453,0.36734693877551017,0.39390000000000003,1,0,0,0,0,0
11,0,1,6,0,0,56,0.81,0.3333543859649123,0.3469387755102041,0.3333,1,0,0,0,0,0
12,0,1,6,0,0,84,0.77,0.3333543859649123,0.4081632653061224,0.4242,1,0,0,0,0,0
13,0,1,6,0,0,94,0.72,0.3508684210526316,0.4489795918367347,0.4545,0,1,0,0,0,0
14,0,1,6,0,0,106,0.72,0.3333543859649123,0.4489795918367347,0.4545,0,1,0,0,0,0
15,0,1,6,0,0,110,0.77,0.3508684210526316,0.42857142857142855,0.43939999999999996,0,1,0,0,0,0
16,0,1,6,0,0,93,0.82,0.3508684210526316,0.4081632653061224,0.4242,0,1,0,0,0,0
17,0,1,6,0,0,67,0.82,0.3333543859649123,0.42857142857142855,0.43939999999999996,0,1,0,0,0,0
18,0,1,6,0,0,35,0.88,0.29820877192982453,0.4081632653061224,0.4242,0,0,1,0,0,0
19,0,1,6,0,0,37,0.88,0.29820877192982453,0.4081632653061224,0.4242,0,0,1,0,0,0
20,0,1,6,0,0,36,0.87,0.29820877192982453,0.38775510204081637,0.40909999999999996,0,1,0,0,0,0
21,0,1,6,0,0,34,0.87,0.22803508771929823,0.38775510204081637,0.40909999999999996,0,1,0,0,0,0
22,0,1,6,0,0,28,0.94,0.26318070175438596,0.38775510204081637,0.40909999999999996,0,1,0,0,0,0
23,0,1,6,0,0,39,0.88,0.3508684210526316,0.4489795918367347,0.4545,0,1,0,0,0,0
0,0,1,0,0,0,17,0.88,0.3508684210526316,0.4489795918367347,0.4545,0,1,0,0,0,0
1,0,1,0,0,0,17,0.94,0.29820877192982453,0.42857142857142855,0.43939999999999996,0,1,0,0,0,0
2,0,1,0,0,0,9,1.0,0.3333543859649123,0.4081632653061224,0.4242,0,1,0,0,0,0
3,0,1,0,0,0,6,0.94,0.22803508771929823,0.4489795918367347,0.4545,0,1,0,0,0,0
4,0,1,0,0,0,3,0.94,0.22803508771929823,0.4489795918367347,0.4545,0,1,0,0,0,0
6,0,1,0,0,0,2,0.77,0.3508684210526316,0.4081632653061224,0.4242,0,0,1,0,0,0
7,0,1,0,0,0,1,0.76,0.22803508771929823,0.38775510204081637,0.40909999999999996,0,1,0,0,0,0
8,0,1,0,0,0,8,0.71,0.26318070175438596,0.38775510204081637,0.40909999999999996,0,0,1,0,0,0
9,0,1,0,0,0,20,0.76,0.26318070175438596,0.36734693877551017,0.39390000000000003,0,1,0,0,0,0
10,0,1,0,0,0,53,0.81,0.26318070175438596,0.3469387755102041,0.3484999999999999,0,1,0,0,0,0
11,0,1,0,0,0,70,0.71,0.29820877192982453,0.3469387755102041,0.3333,0,1,0,0,0,0
12,0,1,0,0,0,93,0.66,0.3508684210526316,0.3469387755102041,0.3333,0,1,0,0,0,0
13,0,1,0,0,0,75,0.66,0.15786140350877195,0.3469387755102041,0.3484999999999999,0,1,0,0,0,0
14,0,1,0,0,0,59,0.76,0.22803508771929823,0.3469387755102041,0.3484999999999999,0,0,1,0,0,0
15,0,1,0,0,0,74,0.81,0.19300701754385965,0.32653061224489793,0.3333,0,0,1,0,0,0
16,0,1,0,0,0,76,0.71,0.19300701754385965,0.32653061224489793,0.3333,0,0,1,0,0,0
17,0,1,0,0,0,65,0.57,0.22803508771929823,0.32653061224489793,0.3333,1,0,0,0,0,0
18,0,1,0,0,0,53,0.46,0.3860140350877193,0.3469387755102041,0.3333,0,1,0,0,0,0
19,0,1,0,0,0,30,0.42,0.5263614035087719,0.3061224489795918,0.2879,1,0,0,0,0,0
20,0,1,0,0,0,22,0.39,0.42104210526315794,0.2857142857142857,0.2727,1,0,0,0,0,0
21,0,1,0,0,0,31,0.44,0.3860140350877193,0.2448979591836735,0.2273,1,0,0,0,0,0
22,0,1,0,0,0,9,0.44,0.3508684210526316,0.22448979591836735,0.2121,1,0,0,0,0,0
23,0,1,0,0,0,8,0.47,0.19300701754385965,0.20408163265306123,0.2273,1,0,0,0,0,0
0,0,1,1,1,0,5,0.44,0.42104210526315794,0.20408163265306123,0.19699999999999998,1,0,0,0,0,0
1,0,1,1,1,0,2,0.44,0.4912157894736842,0.18367346938775514,0.1667,1,0,0,0,0,0
4,0,1,1,1,0,1,0.47,0.45618771929824564,0.14285714285714288,0.1364,1,0,0,0,0,0
